Unnamed: 0,id,scrape_id,host_id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location
0,19091,20250609011815,72880,29.961,-90.1195,Leonidas,,Entire rental unit,Entire home/apt,2010-01-23,"New Orleans, LA",within an hour,100%,100%,f,1,1,t,t,2,1.0,1 bath,1.0,1.0,"[""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Blender"", ""Shower gel"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Air conditioning"", ""Outdoor furniture"", ""Clothing storage: closet and dresser"", ""TV with standard cable"", ""Portable fans"", ""Stove"", ""Outdoor dining area"", ""Self check-in"", ""Coffee maker"", ""Paid parking on premises"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""Backyard"", ""Oven"", ""Fire extinguisher"", ""Body soap"", ""Laundromat nearby"", ""Kitchen"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Shared patio or balcony"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Cleaning products"", ""Conditioner"", ""Sony sound system"", ""Dining table"", ""Cooking basics"", ""Wine glasses"", ""Coffee"", ""Private entrance"", ""Freezer"", ""Keypad""]",$62.00,1,365,1,1,365,365,1.0,365.0,t,10,19,23,288,126,504,1,0,0,2.73,4.89,4.95,4.87,4.98,4.68
200,3774603,20250609011815,85132,29.93403,-90.08137,Central City,,Room in boutique hotel,Private room,2010-02-24,"New Orleans, LA",within an hour,94%,7%,f,95,122,t,f,4,1.0,1 private bath,1.0,2.0,"[""Shared hot tub"", ""Dishes and silverware"", ""Heating"", ""Blender"", ""Shower gel"", ""Hot water"", ""Shared pool - available all year"", ""Room-darkening shades"", ""Wifi"", ""Air conditioning"", ""Outdoor furniture"", ""Clothing storage: closet and dresser"", ""TV with standard cable"", ""Ceiling fan"", ""Free dryer"", ""Coffee maker"", ""Paid parking on premises"", ""Smoke alarm"", ""Shampoo"", ""Sound system"", ""Microwave"", ""Electric stove"", ""Toaster"", ""Refrigerator"", ""Elevator"", ""Bed linens"", ""Free washer"", ""Hair dryer"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat"", ""Fire extinguisher"", ""Body soap"", ""Ethernet connection"", ""Safe"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Shared patio or balcony"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Cleaning products"", ""Baking sheet"", ""Conditioner"", ""Dining table"", ""Shared gym in building"", ""Private living room"", ""Cooking basics"", ""Wine glasses"", ""Coffee"", ""Freezer""]",$317.00,30,1125,30,30,1125,1125,30.0,1125.0,t,30,60,90,365,198,2,0,0,0,0.03,5.0,5.0,5.0,5.0,5.0
400,9255399,20250609011815,2775826,29.971435546875,-90.0735092163086,Treme - Lafitte,,Private room in guesthouse,Private room,2012-06-28,"New Orleans, LA",within an hour,100%,100%,t,4,6,t,t,2,1.0,1 private bath,1.0,1.0,"[""Books and reading material"", ""Dishes and silverware"", ""Record player"", ""32 inch TV with Roku"", ""Life size games"", ""Carbon monoxide alarm"", ""Blender"", ""Central air conditioning"", ""Shower gel"", ""Hot water"", ""Board games"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Private patio or balcony"", ""Outdoor furniture"", ""Ginger Lily Farms Botanical - Non sulfate conditioner"", ""Portable fans"", ""Frigidaire refrigerator"", ""Ceiling fan"", ""Coffee maker: drip coffee maker, espresso machine, french press, Keurig coffee machine, pour-over coffee"", ""Outdoor dining area"", ""Bikes"", ""Cuisinart stainless steel single oven"", ""Host greets you"", ""Free dryer \u2013 In unit"", ""Central heating"", ""Smoke alarm"", ""Toaster"", ""Microwave"", ""Ginger Lily Farms Botanical - Non sulfate body soap"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Exercise equipment: yoga mat"", ""Bed linens"", ""Hair dryer"", ""Dishwasher"", ""First aid kit"", ""Freezer"", ""Sun loungers"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Free driveway parking on premises \u2013 1 space"", ""Dedicated workspace"", ""Rice maker"", ""Shared pool - available all year, open specific hours"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Fire pit"", ""Barbecue utensils"", ""Iron"", ""Shared BBQ grill: charcoal"", ""Cleaning products"", ""Ginger Lily Farms Botanical - Non sulfate shampoo"", ""Free washer \u2013 In unit"", ""Nemco stainless steel electric stove"", ""Baking sheet"", ""Pool view"", ""Dining table"", ""Cooking basics"", ""Wine glasses"", ""Coffee"", ""Private entrance"", ""Clothing storage: wardrobe"", ""Outdoor shower""]",$177.00,1,4,1,4,1,4,1.0,3.6,t,11,28,49,106,106,5,2,0,1,0.04,5.0,5.0,5.0,5.0,5.0
600,13744419,20250609011815,80480972,29.93675,-90.10219,Milan,,Entire condo,Entire home/apt,2016-06-28,"Pensacola, FL",,,,f,1,2,t,t,4,,2 baths,2.0,,"[""Dishes and silverware"", ""Heating"", ""Wifi"", ""Air conditioning"", ""TV with standard cable"", ""Dryer"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Pets allowed"", ""Hair dryer"", ""Washer"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Iron"", ""Keypad""]",,30,1125,30,30,1125,1125,30.0,1125.0,,0,0,0,0,0,41,0,0,0,0.4,4.83,4.9,4.73,5.0,4.93
800,16718674,20250609011815,76836055,29.95098,-90.10403,Broadmoor,,Entire guest suite,Entire home/apt,2016-06-09,"New Orleans, LA",,,,f,1,1,t,f,2,1.0,1 bath,1.0,1.0,"[""Dishes and silverware"", ""Heating"", ""Pool"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""TV with standard cable"", ""Dryer"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Lockbox"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""Washer"", ""Backyard"", ""Fire extinguisher"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Iron"", ""Cooking basics"", ""Private entrance"", ""Patio or balcony""]",$123.00,30,30,30,30,30,30,30.0,30.0,t,29,59,89,364,197,234,0,0,0,2.31,4.88,4.88,4.89,4.91,4.75
1000,19408710,20250609011815,136066012,29.96293,-90.08112,Tulane - Gravier,,Entire home,Entire home/apt,2017-06-20,"New Orleans, LA",within an hour,100%,100%,t,2,3,t,t,6,2.0,2 baths,3.0,5.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Shower gel"", ""Hot water"", ""Board games"", ""Room-darkening shades"", ""Wifi"", ""Private patio or balcony"", ""Outdoor furniture"", ""Clothing storage: closet and dresser"", ""Stainless steel gas stove"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Ceiling fan"", ""Outdoor dining area"", ""Self check-in"", ""Free dryer \u2013 In unit"", ""Central heating"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Bed linens"", ""70 inch HDTV"", ""Hair dryer"", ""First aid kit"", ""Exterior security cameras on property"", ""Oven"", ""Fire extinguisher"", ""Dedicated workspace"", ""Body soap"", ""Laundromat nearby"", ""Kitchen"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Smart lock"", ""Hangers"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Iron"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Conditioner"", ""Bathtub"", ""Dining table"", ""Cooking basics"", ""Wine glasses"", ""BBQ grill"", ""Freezer""]",$218.00,30,365,2,2,365,365,2.0,365.0,t,28,58,88,196,196,219,26,0,32,2.31,4.95,4.92,4.91,4.94,4.6
1200,22386918,20250609011815,163630059,29.92909,-90.10537,Uptown,,Entire home,Entire home/apt,2017-12-21,,within an hour,100%,97%,t,9,10,t,t,4,2.0,2 baths,2.0,3.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dryer"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Refrigerator"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Washer"", ""Oven"", ""Fire extinguisher"", ""TV"", ""Dedicated workspace"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Bathtub"", ""Dining table"", ""Cooking basics"", ""Private entrance"", ""Clothing storage"", ""Freezer"", ""Keypad""]",$170.00,2,29,2,4,29,29,2.3,29.0,t,15,37,67,146,146,208,41,3,46,2.29,4.88,4.92,4.86,4.93,4.95
1400,24656644,20250609011815,176655337,29.95592,-90.01579,Holy Cross,,Private room in home,Private room,2018-03-04,United States,,,,f,4,6,t,t,2,1.0,1 shared bath,1.0,4.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Stove"", ""Building staff"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Free parking on premises"", ""First aid kit"", ""Backyard"", ""Oven"", ""Fire extinguisher"", ""TV"", ""Kitchen"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Private living room"", ""Cooking basics"", ""Private entrance""]",$119.00,30,1125,30,30,1125,1125,30.0,1125.0,t,30,60,90,180,180,30,0,0,0,0.35,4.62,4.8,4.6,4.9,4.57
1600,28783893,20250609011815,5368896,29.92115,-90.11781,West Riverside,,Entire home,Entire home/apt,2013-03-07,"New Orleans, LA",,,,f,1,2,t,t,8,,2 baths,3.0,,"[""Dryer"", ""Washer"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Shampoo"", ""Kitchen"", ""Essentials"", ""Wifi"", ""Private entrance"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises""]",,30,1125,30,30,1125,1125,30.0,1125.0,,0,0,0,0,0,1,0,0,0,0.01,5.0,5.0,5.0,5.0,5.0
1800,32073810,20250609011815,240536821,29.96569,-90.0703,Treme - Lafitte,,Entire home,Entire home/apt,2019-02-02,,,,,f,1,1,t,f,10,,3.5 baths,3.0,,"[""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Air conditioning"", ""TV with standard cable"", ""Dryer"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Refrigerator"", ""Lockbox"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Washer"", ""Oven"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Iron"", ""Bathtub"", ""Cooking basics"", ""Private entrance"", ""Patio or balcony""]",,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,0,0,88,0,0,0,1.14,4.36,4.44,4.49,4.53,4.28
2000,35319968,20250609011815,12427699,29.96264,-90.03469,Bywater,,Entire rental unit,Entire home/apt,2014-02-20,"New Orleans, LA",,,,f,1,1,t,t,2,,1 bath,1.0,,"[""Dishes and silverware"", ""Heating"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Microwave"", ""Refrigerator"", ""Lockbox"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Oven"", ""Fire extinguisher"", ""TV"", ""Kitchen"", ""Single level home"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Iron"", ""Cooking basics"", ""Private entrance"", ""Pack \u2019n play/Travel crib""]",,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,0,0,21,0,0,0,0.29,5.0,5.0,5.0,4.95,4.81
2200,39242896,20250609011815,41661300,29.92426,-90.08296,Irish Channel,,Entire condo,Entire home/apt,2015-08-16,"Donaldsonville, LA",,,,f,1,1,t,t,4,,1.5 baths,2.0,,"[""Dishes and silverware"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Wifi"", ""Dryer"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Pets allowed"", ""Microwave"", ""Refrigerator"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Washer"", ""Oven"", ""Fire extinguisher"", ""TV"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Smart lock"", ""Hangers"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Iron"", ""Baking sheet"", ""Bathtub"", ""Cooking basics"", ""Private entrance"", ""AC - split type ductless system""]",,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,0,0,18,0,0,0,0.26,4.78,4.89,4.28,4.94,4.94
2400,41433613,20250609011815,64365837,29.92103,-90.10893,Uptown,,Entire rental unit,Entire home/apt,2016-03-24,"New Orleans, LA",within an hour,100%,99%,t,65,69,t,t,6,2.0,2 baths,3.0,3.0,"[""Books and reading material"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Central air conditioning"", ""Shower gel"", ""Hot water"", ""Whirlpool single oven"", ""Room-darkening shades"", ""Wifi"", ""Private patio or balcony"", ""Pack \u2019n play/Travel crib - available upon request"", ""Frigidaire refrigerator"", ""Ceiling fan"", ""Self check-in"", ""Free dryer \u2013 In unit"", ""Central heating"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Whirlpool electric stove"", ""Luggage dropoff allowed"", ""Lockbox"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""First aid kit"", ""Exterior security cameras on property"", ""Babysitter recommendations"", ""Fire extinguisher"", ""Dedicated workspace"", ""Body soap"", ""Cleaning available during stay"", ""Safe"", ""55 inch HDTV with Netflix, Roku"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Single level home"", ""Hot water kettle"", ""Hangers"", ""Iron"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Conditioner"", ""Bathtub"", ""Folding or convertible high chair - available upon request"", ""Cooking basics"", ""Coffee"", ""Private entrance"", ""Freezer""]",$148.00,3,28,1,3,1125,1125,2.9,1125.0,t,0,0,0,0,0,155,38,2,29,2.35,4.93,4.97,4.88,4.97,4.99
2600,45075176,20250609011815,342910048,29.94276,-90.06897,Lower Garden District,,Entire rental unit,Entire home/apt,2020-03-31,"New Orleans, LA",within an hour,100%,94%,t,20,21,t,t,4,2.0,2 baths,2.0,2.0,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Elevator"", ""Refrigerator"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Oven"", ""Fire extinguisher"", ""TV"", ""Dedicated workspace"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hot water kettle"", ""Hangers"", ""Extra pillows and blankets"", ""Iron"", ""Cooking basics"", ""Freezer"", ""Keypad""]",$146.00,30,365,1,7,365,365,2.3,365.0,t,18,47,72,336,180,85,4,0,11,1.46,4.84,4.82,4.87,4.94,4.82
2800,48371126,20250609011815,383432052,29.96876,-90.08127,Treme - Lafitte,,Entire home,Entire home/apt,2021-01-07,"New Orleans, LA",,,,f,2,2,t,f,4,,1 bath,2.0,,"[""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Shower gel"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Dryer"", ""Stove"", ""Ceiling fan"", ""Self check-in"", ""Smoke alarm"", ""Shampoo"", ""Microwave"", ""Refrigerator"", ""Lockbox"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Washer"", ""Oven"", ""Fire extinguisher"", ""TV"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Hangers"", ""Extra pillows and blankets"", ""Coffee maker: Keurig coffee machine"", ""Iron"", ""Cleaning products"", ""Conditioner"", ""Bathtub"", ""Cooking basics"", ""Wine glasses"", ""Clothing storage"", ""Freezer""]",,30,1125,30,30,1125,1125,30.0,1125.0,t,1,1,1,75,3,44,0,0,0,0.85,4.8,4.75,4.8,4.93,4.7
3000,51153020,20250609011815,267363527,29.934155,-90.093971,Milan,,Entire villa,Entire home/apt,2019-06-09,"New Orleans, LA",within an hour,100%,100%,t,12,16,t,t,8,2.0,2 baths,3.0,4.0,"[""Heating"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Wifi"", ""Private patio or balcony"", ""Outdoor dining area"", ""Self check-in"", ""Free dryer \u2013 In unit"", ""Smoke alarm"", ""Shampoo"", ""Pets allowed"", ""Hair dryer"", ""Free parking on premises"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""TV"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Iron"", ""Free washer \u2013 In unit"", ""Cooking basics"", ""BBQ grill"", ""Private entrance"", ""Keypad""]",$260.00,1,1125,1,2,1125,1125,1.6,1125.0,t,21,51,78,289,148,60,8,0,9,1.26,4.73,4.75,4.78,4.9,4.33
3200,53611877,20250609011815,433696318,29.96556,-90.04468,St. Claude,,Private room in bed and breakfast,Private room,2021-11-27,,within an hour,100%,98%,t,6,6,t,t,2,1.0,1 shared bath,1.0,1.0,"[""Books and reading material"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water"", ""Room-darkening shades"", ""Wifi"", ""Air conditioning"", ""Dryer"", ""Ceiling fan"", ""Outdoor dining area"", ""Smoke alarm"", ""Shampoo"", ""Sound system"", ""Luggage dropoff allowed"", ""Bed linens"", ""Hair dryer"", ""First aid kit"", ""Washer"", ""Backyard"", ""Fire extinguisher"", ""TV"", ""Body soap"", ""Essentials"", ""Free street parking"", ""Lock on bedroom door"", ""Hangers"", ""Extra pillows and blankets"", ""Fire pit"", ""Iron"", ""Cleaning products"", ""Conditioner"", ""Breakfast"", ""Bathtub"", ""BBQ grill"", ""Private entrance"", ""Clothing storage"", ""Patio or balcony""]",$156.00,2,28,2,2,28,28,2.0,28.0,t,30,60,90,259,189,34,11,1,6,0.79,5.0,4.97,4.97,5.0,4.97
3400,557798675625812715,20250609011815,442920751,29.9347,-90.10672,Freret,,Entire condo,Entire home/apt,2022-01-31,,within an hour,100%,98%,f,5,6,t,t,4,1.0,1 bath,2.0,2.0,"[""Indoor fireplace"", ""Dishes and silverware"", ""Long term stays allowed"", ""Heating"", ""Carbon monoxide alarm"", ""Blender"", ""Hot water"", ""Wifi"", ""Air conditioning"", ""Dryer"", ""Stove"", ""Self check-in"", ""Coffee maker"", ""Smoke alarm"", ""Shampoo"", ""Toaster"", ""Microwave"", ""Refrigerator"", ""Dishwasher"", ""Bed linens"", ""Hair dryer"", ""Washer"", ""Backyard"", ""Oven"", ""Fire extinguisher"", ""Dedicated workspace"", ""Body soap"", ""Kitchen"", ""Essentials"", ""Free street parking"", ""Smart lock"", ""Extra pillows and blankets"", ""65 inch TV"", ""Iron"", ""Bathtub"", ""Dining table"", ""Private entrance"", ""Patio or balcony""]",$95.00,1,365,1,3,1,365,2.2,95.4,t,17,34,61,318,162,38,10,0,10,1.06,4.68,4.87,4.82,4.89,4.87
